"LOCATION","X","Y","RADIUS"
"Batavia 2",597778.745802318,8651765.36513848,0
"Cloughs landing",598007.959532278,8649432.77071921,0
"Hudson junction",605148.039255534,8642532.19201478,0
"Island downstream",605938.32328057,8643339.66438529,0
"Speartooth 3",600378.621827038,8645298.81949354,0
"Tentpole mouth 2",599628.571175258,8644358.60628374,0
"TentpoleTwin",599427.44429437,8642094.48400505,0
"Wenmouth",602632.383009775,8656789.20201571,0
"WenTentHud",603018.02299624,8644229.24746326,0
"WenTentDS",597668.587365072,8647711.72231376,0
